gm,Id,SS,tox,Vtgm
3.25E-10,4.02E-11,128.598,0.0101,1.916
2.20E-10,2.71E-11,191.219,0.0101,1.916
5.11E-10,6.35E-11,1903.945,0.013,1.916
1.65E-10,2.04E-11,906.447,0.013,1.92
3.89E-05,4.97E-05,92.874,0.0101,0.98
4.00E-05,5.17E-05,93.077,0.0101,0.981
3.15E-05,3.93E-05,101.473,0.013,1.095
3.24E-05,4.07E-05,101.438,0.013,1.095
8.93E-06,1.21E-05,86.604,0.0101,0.755
9.23E-06,1.26E-05,86.928,0.0101,0.758
7.24E-06,1.00E-05,93.522,0.013,0.822
7.47E-06,1.04E-05,92.724,0.013,0.825
8.28E-06,1.06E-05,95.062,0.0101,0.95
8.55E-06,1.11E-05,93.386,0.0101,0.951
6.73E-06,8.46E-06,106.244,0.013,1.064
6.95E-06,8.80E-06,104.532,0.013,1.064
1.76E-05,2.38E-05,86.395,0.0101,0.763
1.82E-05,2.48E-05,86.725,0.0101,0.765
1.42E-05,1.97E-05,93.291,0.013,0.83
1.47E-05,2.05E-05,93.484,0.013,0.832
1.63E-05,2.09E-05,93.774,0.0101,0.958
1.69E-05,2.18E-05,93.238,0.0101,0.958
1.33E-05,1.66E-05,103.338,0.013,1.072
1.37E-05,1.73E-05,102.854,0.013,1.072
2.60E-05,3.51E-05,86.209,0.0101,0.77
2.68E-05,3.66E-05,86.541,0.0101,0.772
2.10E-05,2.90E-05,93.075,0.013,0.837
2.16E-05,3.02E-05,93.365,0.013,0.84
2.41E-05,3.09E-05,93.281,0.0101,0.966
2.49E-05,3.22E-05,93.094,0.0101,0.966
1.96E-05,2.45E-05,102.404,0.013,1.08
2.02E-05,2.55E-05,102.208,0.013,1.08
3.40E-05,4.61E-05,86.046,0.0101,0.777
3.50E-05,4.81E-05,86.378,0.0101,0.779
2.75E-05,3.80E-05,92.88,0.013,0.845
2.83E-05,3.95E-05,93.219,0.013,0.847
3.17E-05,4.05E-05,93.065,0.0101,0.973
3.27E-05,4.22E-05,92.951,0.0101,0.973
2.57E-05,3.21E-05,101.877,0.013,1.087
2.65E-05,3.33E-05,101.778,0.013,1.088
4.18E-05,5.67E-05,85.905,0.0101,0.784
4.22E-05,5.91E-05,86.253,0.0101,0.781
3.37E-05,4.67E-05,92.708,0.013,0.852
3.47E-05,4.85E-05,93.077,0.013,0.854
3.90E-05,4.98E-05,92.871,0.0101,0.98
4.01E-05,5.18E-05,93.073,0.0101,0.981
3.16E-05,3.94E-05,101.469,0.013,1.095
3.25E-05,4.08E-05,101.435,0.013,1.095
4.82E-05,6.70E-05,85.808,0.0101,0.785
4.96E-05,6.97E-05,86.136,0.0101,0.788
3.97E-05,5.51E-05,92.564,0.013,0.859
4.08E-05,5.71E-05,92.954,0.013,0.861
4.60E-05,5.88E-05,92.663,0.0101,0.988
4.74E-05,6.11E-05,92.693,0.0101,0.988
3.73E-05,4.64E-05,101.208,0.013,1.103
3.80E-05,4.80E-05,101.23,0.013,1.1
5.52E-05,7.69E-05,85.72,0.0101,0.792
5.68E-05,7.99E-05,86.05,0.0101,0.794
4.55E-05,6.31E-05,92.454,0.013,0.866
4.67E-05,6.53E-05,92.858,0.013,0.868
5.28E-05,6.75E-05,92.558,0.0101,0.995
5.43E-05,7.01E-05,92.687,0.0101,0.995
4.23E-05,5.31E-05,100.913,0.013,1.107
4.35E-05,5.50E-05,101.041,0.013,1.107
6.19E-05,8.64E-05,85.657,0.0101,0.798
6.36E-05,8.98E-05,85.988,0.0101,0.801
5.03E-05,7.08E-05,92.392,0.013,0.869
5.17E-05,7.33E-05,92.804,0.013,0.871
5.93E-05,7.58E-05,92.455,0.0101,1.001
6.02E-05,7.87E-05,92.519,0.0101,0.998
4.75E-05,5.96E-05,100.785,0.013,1.114
4.88E-05,6.16E-05,100.832,0.013,1.114
6.83E-05,9.57E-05,85.607,0.0101,0.804
7.02E-05,9.93E-05,85.943,0.0101,0.807
5.55E-05,7.82E-05,92.346,0.013,0.875
5.69E-05,8.09E-05,92.763,0.013,0.877
6.48E-05,8.39E-05,92.401,0.0101,1.004
6.65E-05,8.70E-05,92.472,0.0101,1.005
5.25E-05,6.58E-05,100.706,0.013,1.121
5.39E-05,6.79E-05,100.713,0.013,1.121
7.45E-05,1.05E-04,85.56,0.0101,0.81
7.65E-05,1.08E-04,85.901,0.0101,0.813
6.04E-05,8.54E-05,92.314,0.013,0.881
6.20E-05,8.82E-05,92.741,0.013,0.884
7.07E-05,9.17E-05,92.315,0.0101,1.011
7.26E-05,9.50E-05,92.377,0.0101,1.011
5.73E-05,7.17E-05,100.569,0.013,1.128
5.88E-05,7.40E-05,100.618,0.013,1.128
8.04E-05,1.13E-04,85.51,0.0101,0.816
8.26E-05,1.17E-04,85.857,0.0101,0.819
6.52E-05,9.22E-05,92.28,0.013,0.887
6.68E-05,9.52E-05,92.706,0.013,0.89
7.64E-05,9.91E-05,92.23,0.0101,1.017
7.84E-05,1.03E-04,92.274,0.0101,1.017
6.19E-05,7.74E-05,100.456,0.013,1.134
6.35E-05,7.98E-05,100.514,0.013,1.135
8.61E-05,1.22E-04,85.459,0.0101,0.822
8.83E-05,1.26E-04,85.809,0.0101,0.824
6.97E-05,9.88E-05,92.24,0.013,0.893
7.14E-05,1.02E-04,92.674,0.013,0.895
8.19E-05,1.06E-04,92.146,0.0101,1.023
8.40E-05,1.10E-04,92.2,0.0101,1.023
6.64E-05,8.29E-05,100.35,0.013,1.141
6.80E-05,8.54E-05,100.413,0.013,1.141
9.15E-05,1.30E-04,85.412,0.0101,0.827
9.38E-05,1.34E-04,85.763,0.0101,0.83
7.40E-05,1.05E-04,92.194,0.013,0.898
7.58E-05,1.08E-04,92.637,0.013,0.901
8.72E-05,1.13E-04,92.066,0.0101,1.029
8.94E-05,1.17E-04,92.115,0.0101,1.029
7.06E-05,8.81E-05,100.241,0.013,1.147
7.23E-05,9.07E-05,100.31,0.013,1.147
9.67E-05,1.37E-04,85.371,0.0101,0.833
9.90E-05,1.42E-04,85.723,0.0101,0.835
7.82E-05,1.11E-04,92.153,0.013,0.904
8.00E-05,1.15E-04,92.599,0.013,0.907
9.23E-05,1.20E-04,91.991,0.0101,1.035
9.46E-05,1.24E-04,92.041,0.0101,1.035
7.47E-05,9.31E-05,100.138,0.013,1.153
7.64E-05,9.58E-05,100.209,0.013,1.153
1.01E-04,1.45E-04,85.344,0.0101,0.835
1.03E-04,1.49E-04,85.697,0.0101,0.838
8.21E-05,1.17E-04,92.116,0.013,0.909
8.40E-05,1.20E-04,92.565,0.013,0.912
9.72E-05,1.26E-04,91.92,0.0101,1.041
9.95E-05,1.31E-04,91.971,0.0101,1.041
7.81E-05,9.79E-05,100.057,0.013,1.157
8.00E-05,1.01E-04,100.128,0.013,1.157
1.05E-04,1.52E-04,85.311,0.0101,0.84
1.08E-04,1.57E-04,85.666,0.0101,0.843
8.59E-05,1.23E-04,92.083,0.013,0.914
8.73E-05,1.26E-04,92.538,0.013,0.915
1.02E-04,1.33E-04,91.853,0.0101,1.046
1.04E-04,1.37E-04,91.905,0.0101,1.047
8.18E-05,1.03E-04,99.962,0.013,1.163
8.37E-05,1.05E-04,100.035,0.013,1.163
1.10E-04,1.59E-04,85.279,0.0101,0.845
1.12E-04,1.64E-04,85.636,0.0101,0.848
8.90E-05,1.28E-04,92.056,0.013,0.917
9.10E-05,1.32E-04,92.51,0.013,0.92
1.06E-04,1.39E-04,91.786,0.0101,1.052
1.08E-04,1.43E-04,91.856,0.0101,1.05
8.54E-05,1.07E-04,99.872,0.013,1.169
8.73E-05,1.10E-04,99.945,0.013,1.169
1.14E-04,1.65E-04,85.249,0.0101,0.85
1.17E-04,1.71E-04,85.607,0.0101,0.852
9.24E-05,1.33E-04,92.026,0.013,0.922
9.44E-05,1.37E-04,92.482,0.013,0.925
1.10E-04,1.44E-04,91.739,0.0101,1.055
1.12E-04,1.49E-04,91.793,0.0101,1.055
8.88E-05,1.11E-04,99.781,0.013,1.174
9.08E-05,1.14E-04,99.858,0.013,1.174
1.18E-04,1.72E-04,85.219,0.0101,0.854
1.21E-04,1.77E-04,85.578,0.0101,0.857
9.57E-05,1.38E-04,91.997,0.013,0.927
9.77E-05,1.42E-04,92.456,0.013,0.929
1.14E-04,1.50E-04,91.674,0.0101,1.06
1.17E-04,1.54E-04,91.732,0.0101,1.06
9.21E-05,1.15E-04,99.692,0.013,1.179
9.41E-05,1.18E-04,99.772,0.013,1.179
1.22E-04,1.78E-04,85.189,0.0101,0.859
1.25E-04,1.83E-04,85.551,0.0101,0.862
9.88E-05,1.43E-04,91.968,0.013,0.931
1.01E-04,1.47E-04,92.43,0.013,0.934
1.18E-04,1.55E-04,91.612,0.0101,1.065
1.21E-04,1.60E-04,91.671,0.0101,1.065
9.52E-05,1.19E-04,99.607,0.013,1.185
9.73E-05,1.22E-04,99.687,0.013,1.185
1.26E-04,1.84E-04,85.161,0.0101,0.863
1.29E-04,1.89E-04,85.524,0.0101,0.866
1.02E-04,1.47E-04,91.94,0.013,0.936
1.04E-04,1.51E-04,92.404,0.013,0.938
1.22E-04,1.60E-04,91.551,0.0101,1.07
1.24E-04,1.65E-04,91.61,0.0101,1.07
9.82E-05,1.23E-04,99.521,0.013,1.19
1.00E-04,1.26E-04,99.605,0.013,1.19
1.30E-04,1.90E-04,85.133,0.0101,0.867
1.32E-04,1.95E-04,85.498,0.0101,0.87
1.05E-04,1.52E-04,91.913,0.013,0.94
